Название (реестр АРРФР);БИН;Категория;Полное название (гос. регистр);Юридический адрес;Руководитель;Примечание
"ТОО ""Кредитное товарищество ""Егиндыколь-Финанс""";050740003008;Кредитное товарищество;"ТОО ""КРЕДИТНОЕ ТОВАРИЩЕСТВО ""ЕГИНДЫКОЛЬ-ФИНАНС""";АКМОЛИНСКАЯ ОБЛАСТЬ, ЕГИНДЫКОЛЬСКИЙ РАЙОН, ЕГИНДЫКОЛЬСКИЙ С.О., С.ЕГИНДЫКОЛЬ, улица Победы, дом 16, кв. 3;АЛПЫСПАЕВ РЕНАТ МУХАМЕДЖАНОВИЧ;
"ТОО ""Кредитное товарищество ""Атамекен""";080340012701;Кредитное товарищество;"ТОО ""КРЕДИТНОЕ ТОВАРИЩЕСТВО ""АТАМЕКЕН""";АКМОЛИНСКАЯ ОБЛАСТЬ, САНДЫКТАУСКИЙ РАЙОН, БАЛКАШИНСКИЙ С.О., С.БАЛКАШИНО, улица Абая, строение 60А;КОШЕКОВ КУРМАНГАЗЫ АМАНТАЕВИЧ;
"ТОО ""Кредитное товарищество ""Мұнайлы несие""";190240023508;Кредитное товарищество;"ТОО ""КРЕДИТНОЕ ТОВАРИЩЕСТВО ""МҰНАЙЛЫ НЕСИЕ""";МАНГИСТАУСКАЯ ОБЛАСТЬ, АКТАУ Г.А., Г.АКТАУ, Микрорайон 29, здание 225;АХМЕДЕЕВА ГУЛЬМИРА МАКСАТОВНА;
ТОО «DOSGOLD Ломбард»;120740012984;Ломбард;"ТОО ""DOSGOLD ЛОМБАРД""";Г.АСТАНА, РАЙОН НҰРА, улица Е 900, дом 10, кв. 367;ДОСКЕЛДИЕВА АКШОЛПАН НУРЛАНОВНА;
"ТОО ""VA LOMBARD"" ЛОМБАРД""";170440007094;МФО;"ТОО ""VA LOMBARD"" ЛОМБАРД""";ОБЛАСТЬ ЖЕТІСУ, ТАЛДЫКОРГАН Г.А., Г.ТАЛДЫКОРГАН, улица С.Сейфуллина, дом 16;АКЫЛТАЕВА АСЕЛЬ СЪЕЗБЕКОВНА;
"Товарищество с ограниченной ответственностью ""MaxCredit Ломбард""";170340019976;Ломбард;"ТОО ""MAXCREDIT ЛОМБАРД""";АКТЮБИНСКАЯ ОБЛАСТЬ, АКТОБЕ Г.А., Г.АКТОБЕ, РАЙОН АСТАНА , улица Есет-Батыра, дом 154;БАЙМАНКУНОВА АЙДАНА НУРЛУХАНОВНА;
"ТОО ""МК-Ломбард""";090540011693;Ломбард;"ТОО ""МК-ЛОМБАРД""";Г.АЛМАТЫ, БОСТАНДЫКСКИЙ РАЙОН, улица Попова, дом 29;АЛИЕВ ГУЛАМ АРИФОВИЧ;
"ТОО ""М-Ломбард""";010540000712;Ломбард;"ТОО ""М-ЛОМБАРД""";Г.АЛМАТЫ, БОСТАНДЫКСКИЙ РАЙОН, УЛИЦА ПОПОВА, 33;АЛИЕВ ГУЛАМ АРИФОВИЧ;
"Товарищество с ограниченной ответственностью ""Ломбард Болашак""";140240026692;Ломбард;"ТОО ""ЛОМБАРД БОЛАШАК""";АКТЮБИНСКАЯ ОБЛАСТЬ, АКТОБЕ Г.А., Г.АКТОБЕ, РАЙОН АСТАНА , улица Есет-Батыра, дом 118, н.п. 1;МҮСТЕКЕНОВ ТАЛҒАТ ТҰРТАЙҰЛЫ;
"Товарищество с ограниченной ответственностью ""Кредитное товарищество ""ENRC Credit"" (ЕЭнЭрСи Кредит)";040640000147;Кредитное товарищество;"ТОО ""КРЕДИТНОЕ ТОВАРИЩЕСТВО ""ENRC CREDIT"" (ЕЭНЭРСИ КРЕДИТ)";Г.АСТАНА, РАЙОН ЕСИЛЬ, Проспект Мәңгілік Ел, здание 43;ИСИМБАЕВА АЛМА ТУРАШЕВНА;
"ТОО ""Тех.ломбард""";180240009243;Ломбард;"ТОО ""ТЕХ.ЛОМБАРД""";КОСТАНАЙСКАЯ ОБЛАСТЬ, КОСТАНАЙ Г.А., Г.КОСТАНАЙ, УЛИЦА И.АЛТЫНСАРИНА, 131А;АЛИМБАЕВ МАГЗУМ ТУЛЕГЕНОВИЧ;
"ТОО ""Кредитное товарищество ""Тобыл""";030840001795;Кредитное товарищество;"ТОО ""КРЕДИТНОЕ ТОВАРИЩЕСТВО ""ТОБЫЛ""";КОСТАНАЙСКАЯ ОБЛАСТЬ, КОСТАНАЙ Г.А., Г.КОСТАНАЙ, улица А.П.Чехова, дом 103;УТЕБАЕВ ЖУМАГАЗЫ АБДИКАРИМОВИЧ;
"ТОО ""ALG Ломбард""";050540003893;Ломбард;"ТОО ""ALG ЛОМБАРД""";АЛМАТИНСКАЯ ОБЛАСТЬ, КАРАСАЙСКИЙ РАЙОН, КАСКЕЛЕНСКАЯ Г.А., Г.КАСКЕЛЕН, улица Аубай Байғазиев, строение 39;ИБРАГИМОВ ЭЛЬДАР МУСЛИМОВИЧ;
"ТОО ""Микрофинансовая организация ""Kredit Seven Kazakhstan (Кредит Севен Казахстан)""";200340016315;МФО;"ТОО ""МИКРОФИНАНСОВАЯ ОРГАНИЗАЦИЯ ""KREDIT SEVEN KAZAKHSTAN (КРЕДИТ СЕВЕН КАЗАХСТАН)""";ТУРКЕСТАНСКАЯ ОБЛАСТЬ, САЙРАМСКИЙ РАЙОН, АКСУКЕНТСКИЙ С.О., С.АКСУ, улица Улы Дала, здание 1;ВОЛКОВА АННА АЛЕКСАНДРОВНА;
"ТОО ""Микрофинансовая организация ""БИИК-Кредит""";031240002487;МФО;"ТОО ""МИКРОФИНАНСОВАЯ ОРГАНИЗАЦИЯ ""БИИК-КРЕДИТ""";Г.ШЫМКЕНТ, АЛЬ-ФАРАБИЙСКИЙ РАЙОН, улица Казыбек Би, дом 18, н.п. 1;ШАТАБАЕВА МАДИНА ТОРЕБАЕВНА;
"ТОО ""Ломбард ""БИИК""";980840001217;Ломбард;"ТОО ""ЛОМБАРД ""БИИК""";Г.ШЫМКЕНТ, АЛЬ-ФАРАБИЙСКИЙ РАЙОН, улица Казыбек Би, дом 18, н.п. 1;ШАТАБАЕВА МАДИНА ТОРЕБАЕВНА;
"ТОО ""Ломбард Капиталъ""";160240005643;Ломбард;"ТОО ""ЛОМБАРД КАПИТАЛЪ""";Г.ШЫМКЕНТ, РАЙОН ТУРАН, улица Гани Иляева, дом 4, кв. 24;БАКТЫБАЕВА МАДИНА АЙТКУЛОВНА;
"ТОО ""Сары Ломбард""Сары Ломбард";150340018875;Ломбард;"ТОО ""САРЫ ЛОМБАРД""";Г.ШЫМКЕНТ, АЛЬ-ФАРАБИЙСКИЙ РАЙОН, ПРОСПЕКТ КАБАНБАЙ БАТЫРА;ТӨРЕХАН ДАНИЯР ТӨЛЕГЕНҰЛЫ;
"ТОО ""Ломбард Көлдария""";120140012487;Ломбард;"ТОО ""ЛОМБАРД ""КӨЛДАРИЯ""";ТУРКЕСТАНСКАЯ ОБЛАСТЬ, САРЫАГАШСКИЙ РАЙОН, Г.САРЫАГАШ, улица 9-мая, дом 22;ТОЛЕГЕНОВА ФАРИДА ТУРАБЕКОВНА;
"ТОО ""Ломбард Р-Люкс""";090740005329;Ломбард;"ТОО ""ЛОМБАРД ""Р-ЛЮКС""";Г.ШЫМКЕНТ, РАЙОН ТУРАН, улица Асанбай Аскаров, дом 32, кв. 21;ДОСЫМБЕТОВ АЗИЗ СЕРИКОВИЧ;
"ТОО ""Ломбард CVOY""";200540016615;Ломбард;"ТОО ""ЛОМБАРД CVOY""";Г.ШЫМКЕНТ, АЛЬ-ФАРАБИЙСКИЙ РАЙОН, УЛИЦА МУХАМЕД ХАЙДАР ДУЛАТИ, Д.200А;ИМАНБАЕВА МАРИНА ВЛАДИМИРОВНА;
"ТОО ""Кредитное товарищество ""Жеті-Нар""";040240003503;Кредитное товарищество;"ТОО ""КРЕДИТНОЕ ТОВАРИЩЕСТВО ""ЖЕТІ-НАР""";ОБЛАСТЬ ЖЕТІСУ, КОКСУСКИЙ РАЙОН, БАЛПЫКСКИЙ С.О., С.БАЛПЫК БИ, Микрорайон И. Шадрин, дом 9, кв. 11;ДЕМЕУБАЕВА НУРЗАДА АБИЛГАЛЫМОВНА;
"ТОО ""Негосударственный ломбард ""Дисконт""";950340001917;Ломбард;"ТОО ""НЕГОСУДАРСТВЕННЫЙ ЛОМБАРД ""ДИСКОНТ""";КОСТАНАЙСКАЯ ОБЛАСТЬ, КОСТАНАЙ Г.А., Г.КОСТАНАЙ, Проспект Аль-Фараби, дом 88;АХМЕДИЕВ ТЭМИРЛАН САБИРЖАНОВИЧ;
"ТОО ""Кредитное товарищество ""имени Райымбека""";040340002797;Кредитное товарищество;"ТОО ""КРЕДИТНОЕ ТОВАРИЩЕСТВО ""ИМЕНИ РАЙЫМБЕКА""";АЛМАТИНСКАЯ ОБЛАСТЬ, КЕГЕНСКИЙ РАЙОН, КЕГЕНСКИЙ С.О., С.КЕГЕН, УЛИЦА Б МОМЫШУЛЫ, 19;БОЛАТОВА БАХЫТ БОЛАТОВНА;
"Товарищество с ограниченной ответственностью ""Микрофинансовая организация ""Аtаmекеn Qaragandy""";181040023511;МФО;"ТОО ""МИКРОФИНАНСОВАЯ ОРГАНИЗАЦИЯ «АTАMЕКЕN QARAGANDY»";КАРАГАНДИНСКАЯ ОБЛАСТЬ, КАРАГАНДА Г.А., Г.КАРАГАНДА, Р.А. ИМ. КАЗЫБЕК БИ, РАЙОН ИМ.КАЗЫБЕК БИ, Микрорайон Степной-1, строение 10/1;НУКИНА САИДА СЕЙТГАЛИЕВНА;
"ТОО ""Микрофинансовая организация ""Азиатский Кредитный Фонд""";051040001396;МФО;"ТОО ""МИКРОФИНАНСОВАЯ ОРГАНИЗАЦИЯ ""АЗИАТСКИЙ КРЕДИТНЫЙ ФОНД""";Г.АЛМАТЫ, АЛМАЛИНСКИЙ РАЙОН, улица Ауэзова, дом 60;ЖАКУПОВА ЖАННА БОЛАТХАНОВНА;
"ТОО ""Микрофинансовая организация ""Finbox""";150940005022;МФО;"ТОО ""МИКРОФИНАНСОВАЯ ОРГАНИЗАЦИЯ ""FINBOX""";Г.АЛМАТЫ, АЛМАЛИНСКИЙ РАЙОН, улица Жамбыла, дом 114/85;МЕДЕУБЕКОВ ДИЯР НУРЛАНОВИЧ;
"ТОО ""Кредитное товарищество ""Жаркент""";020740000890;Кредитное товарищество;"ТОО ""КРЕДИТНОЕ ТОВАРИЩЕСТВО ""ЖАРКЕНТ""";ОБЛАСТЬ ЖЕТІСУ, ПАНФИЛОВСКИЙ РАЙОН, ЖАРКЕНТСКАЯ Г.А., Г.ЖАРКЕНТ, улица Айтжана Туркебаева, сооружение 40/4;АШИРОВА НАЗИГУЛЬ ТУРСЫНКАНОВНА;
"ТОО Кредитное товарищество ""Бейнеу""";171140035389;Кредитное товарищество;"ТОО ""КРЕДИТНОЕ ТОВАРИЩЕСТВО ""БЕЙНЕУ""";МАНГИСТАУСКАЯ ОБЛАСТЬ, БЕЙНЕУСКИЙ РАЙОН, БЕЙНЕУСКИЙ С.О., С.БЕЙНЕУ, улица Әлихан Бөкейхан, дом 28, кв. 24;ТУЛЕУГАЛИЕВ ТИМУР КАБДСИХОВИЧ;
"ТОО ""Кредитное товарищество ""Денисовское""";030640000978;Кредитное товарищество;"ТОО ""КРЕДИТНОЕ ТОВАРИЩЕСТВО ""ДЕНИСОВСКОЕ""";КОСТАНАЙСКАЯ ОБЛАСТЬ, ДЕНИСОВСКИЙ РАЙОН, ДЕНИСОВСКИЙ С.О., С.ДЕНИСОВКА, УЛИЦА ЛЕНИНА, 8;СУЕРБАСОВ МАРАТ ЖАКСЛЫКОВИЧ;
"ТОО ""Ломбард Миллион-М""";140240022848;Ломбард;"ТОО ""ЛОМБАРД МИЛЛИОН-М""";КОСТАНАЙСКАЯ ОБЛАСТЬ, КОСТАНАЙ Г.А., Г.КОСТАНАЙ, улица Шевченко, дом 37;КОВАЛЕВ ИГОРЬ ИГОРЕВИЧ;
"ТОО ""Кредитное товарищество ""Сункар""";051040002483;Кредитное товарищество;"ТОО ""КРЕДИТНОЕ ТОВАРИЩЕСТВО ""СУНКАР""";КОСТАНАЙСКАЯ ОБЛАСТЬ, КАМЫСТИНСКИЙ РАЙОН, КАМЫСТИНСКИЙ С.О., С.КАМЫСТЫ, улица Гумилева, дом 68;ЕДРИСОВ САМРАТ ХАЛИТОВИЧ;
"ТОО ""Кредитное товарищество ""Сарыколь""";070240004537;Кредитное товарищество;"ТОО ""КРЕДИТНОЕ ТОВАРИЩЕСТВО ""САРЫКОЛЬ""";КОСТАНАЙСКАЯ ОБЛАСТЬ, САРЫКОЛЬСКИЙ РАЙОН, САРЫКОЛЬСКАЯ П.А., П.САРЫКОЛЬ, улица Тәуелсіздік, дом 93;ШЕКА ТАТЬЯНА ВИКТОРОВНА;
"ТОО ""Проффит – ломбард 24""";150240017239;Ломбард;ТОО «ПРОФФИТ – ЛОМБАРД 24»;ОБЛАСТЬ АБАЙ, СЕМЕЙ Г.А., Г.СЕМЕЙ, УЛИЦА АЙТКЕША ИБРАЕВА, 152, КВ 3;ДИКАНБАЕВА ДАНАРА АКЫЛЖАНОВНА;
"ТОО ""Кредитное товарищество ""Ауыл""";010640000062;Кредитное товарищество;"ТОО ""КРЕДИТНОЕ ТОВАРИЩЕСТВО ""АУЫЛ""";КЫЗЫЛОРДИНСКАЯ ОБЛАСТЬ, ЖАЛАГАШСКИЙ РАЙОН, ЖАЛАГАШСКИЙ С.О., П.ЖАЛАГАШ, улица Толеген Кистаубаев, строение 4;ОМАРОВ САМАТ ДӘУІРҰЛЫ;
"ТОО ""АВТО МИГ ЛОМБАРД""";170140009023;МФО;"ТОО ""АВТО МИГ ЛОМБАРД""";КЫЗЫЛОРДИНСКАЯ ОБЛАСТЬ, КЫЗЫЛОРДА Г.А., Г.КЫЗЫЛОРДА, улица Гани Муратбаев, дом 2;АЛТЫНБЕК ЗАРИНА АЛИБЕКҚЫЗЫ;
"ТОО ""Кредитное товарищество ""Наурыз-Дем""";031040000780;Кредитное товарищество;"ТОО ""КРЕДИТНОЕ ТОВАРИЩЕСТВО ""НАУРЫЗ - ДЕМ""";КЫЗЫЛОРДИНСКАЯ ОБЛАСТЬ, ШИЕЛИЙСКИЙ РАЙОН, ШИЕЛИЙСКИЙ С.О., П.ШИЕЛИ, улица Сакен Сейфуллин, здание 66;ЖАЛТЕНОВ НУРЛАН ГАНИЕВИЧ;
"ТОО ""Астана Ломбард-7""";160840012231;Ломбард;"ТОО ""АСТАНА ЛОМБАРД-7""";Г.АСТАНА, РАЙОН АЛМАТЫ, УЛИЦА АЛЕКСЕЙ ПЕТРОВ, 19, КВ 6;ШАХЗАДИНА ШЫНАР ТОРГАУЫТОВНА;
"Товарищество с ограниченной ответственностью ""TopLombard (ТопЛомбард""";180940013564;Ломбард;"ТОО ""TOPLOMBARD (ТОПЛОМБАРД)""";КАРАГАНДИНСКАЯ ОБЛАСТЬ, КАРАГАНДА Г.А., Г.КАРАГАНДА, Р.А. ИМ. КАЗЫБЕК БИ, РАЙОН ИМ.КАЗЫБЕК БИ, улица Гоголя, дом 52, н.п. 42;ЕФИМЕНКО ОЛЬГА ПАВЛОВНА;
"ТОО ""Ломбард Алтын Орал""";070940006320;Ломбард;"ТОО ""ЛОМБАРДАЛТЫНОРАЛ""";ЗАПАДНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ, УРАЛЬСК Г.А., Г.УРАЛЬСК, Микрорайон Северо-Восток 2, дом 46, кв. 1;МАКСИМЕНКО ЛЮДМИЛА СЕРГЕЕВНА;
"ТОО ""Іскер Ломбард""";130540003781;Ломбард;"ТОО ""ІСКЕР ЛОМБАРД""";Г.АЛМАТЫ, ТУРКСИБСКИЙ РАЙОН, улица Станкевича, дом 5, н.п. 13;БУЕВА НОННА ИВАНОВНА;
"ТОО ""Микрофинансовая организация ""Алтын Кредит""";150640013805;МФО;"ТОО ""МИКРОФИНАНСОВАЯ ОРГАНИЗАЦИЯ ""АЛТЫН КРЕДИТ""";Г.АСТАНА, РАЙОН БАЙҚОҢЫР, улица Шоқан Уәлиханов, дом 9/1, кв. 2;ОРМАНБЕКОВА ГУЛЬЖАН АЛИШЕРОВНА;
"ТОО ""Кредитное товарищество ""Сыр бойы""";061140005106;Кредитное товарищество;"ТОО ""КРЕДИТНОЕ ТОВАРИЩЕСТВО ""СЫР БОЙЫ""";КЫЗЫЛОРДИНСКАЯ ОБЛАСТЬ, КЫЗЫЛОРДА Г.А., Г.КЫЗЫЛОРДА, улица Динмухамед Конаев, здание 33;ТОҒЫМОВ ЖАРАСХАН РАЙЫСБЕКҰЛЫ;
"ТОО ""Авто Рост Ломбард""";161040005572;Ломбард;"ТОО ""АВТО РОСТ ЛОМБАРД""";КЫЗЫЛОРДИНСКАЯ ОБЛАСТЬ, КЫЗЫЛОРДА Г.А., Г.КЫЗЫЛОРДА, улица Айтеке Би, дом 23, кв. 10;ПАК ЮРИЙ ВИТАЛЬЕВИЧ;
ТОО «Восток ломбард»;190940009865;Ломбард;"ТОО ""ВОСТОК ЛОМБАРД""";Г.АЛМАТЫ, МЕДЕУСКИЙ РАЙОН, улица Алимжанова, дом 48;ДЮСЮПОВА АЛГИЗА УРАЛКАНОВНА;
"ТОО ""Шик585Ломбард""";180840010714;Ломбард;"ТОО ""ШИК585ЛОМБАРД""";ОБЛАСТЬ АБАЙ, СЕМЕЙ Г.А., Г.СЕМЕЙ, КВАРТАЛ 20, 14, кв 77;АСКАРОВА АИДА АРМАНОВНА;
Товарищество с ограниченной ответственностью «PLATINUM Ломбард»;190440035300;Ломбард;"ТОО ""PLATINUM ЛОМБАРД""";Г.ШЫМКЕНТ, АЛЬ-ФАРАБИЙСКИЙ РАЙОН, улица Толе би, здание 9/3;АЛЖАНОВА АЙКЕРИМ ЖАНЗАКОВНА;
"ТОО ""Кредитное товарищество ""Родник""";040540002388;Кредитное товарищество;"ТОО ""КРЕДИТНОЕ ТОВАРИЩЕСТВО ""РОДНИК""";ОБЛАСТЬ АБАЙ, БОРОДУЛИХИНСКИЙ РАЙОН, БОРОДУЛИХИНСКИЙ С.О., С.БОРОДУЛИХА, улица Тәуелсіздік, строение 73;МУХАЕВ НАРИМАН ГАБДРАШИТОВИЧ;
"ТОО ""Микрофинансовая организация ""ТТ-Финанс""";060740006371;МФО;"ТОО ""МИКРОФИНАНСОВАЯ ОРГАНИЗАЦИЯ ""ТТ-ФИНАНС""";КАРАГАНДИНСКАЯ ОБЛАСТЬ, КАРАГАНДА Г.А., Г.КАРАГАНДА, Р.А. ИМ. КАЗЫБЕК БИ, РАЙОН ИМ.КАЗЫБЕК БИ, Проспект Бухар Жырау, строение 75Г;БАТРАШЕВ МАРГУЛАН МАРАТОВИЧ;
"ТОО ""Ломбард Platinum""";091240009782;Ломбард;"ТОО ""ЛОМБАРД PLATINUM""";ОБЛАСТЬ ЖЕТІСУ, АЛАКОЛЬСКИЙ РАЙОН, УШАРАЛЬСКАЯ Г.А., Г.УШАРАЛ, улица Садық Құсайын, дом 92;КАРАБЕКОВА ЛЯЗЗАТ КАЙРАТОВНА;
"ТОО ""Ломбард - Арасан""";050640004311;Ломбард;"ТОО ""ЛОМБАРД-АРАСАН""";ОБЛАСТЬ ЖЕТІСУ, ТАЛДЫКОРГАН Г.А., Г.ТАЛДЫКОРГАН, улица Кабанбай батыра, дом 62, кв. 1;АВДЕЕВ ВАЛЕРИЙ НИКОЛАЕВИЧ;
"ТОО ""Кредитное товарищество ""Ырыс""";160340012808;Кредитное товарищество;ТОО «КРЕДИТНОЕ ТОВАРИЩЕСТВО «ЫРЫС»;АЛМАТИНСКАЯ ОБЛАСТЬ, ЕНБЕКШИКАЗАХСКИЙ РАЙОН, ЕСИКСКАЯ Г.А., Г.ЕСИК, улица Алтын Адам аллеясы, дом 131, кв. 2;ИСКАКОВА АЙНУР ОРАЗБАЕВНА;
"ТОО ""Кредитное товарищество ""Каскелен""";030640003161;Кредитное товарищество;"ТОО ""КРЕДИТНОЕ ТОВАРИЩЕСТВО ""КАСКЕЛЕН""";АЛМАТИНСКАЯ ОБЛАСТЬ, КАРАСАЙСКИЙ РАЙОН, КАСКЕЛЕНСКАЯ Г.А., Г.КАСКЕЛЕН, улица Наурызбай, дом 23А;СУЛЕЙМЕНОВ КАНАТ САТТАРБЕКОВИЧ;
"ТОО ""Кредитное товарищество ""Болашақ Инвест""";171140032760;Кредитное товарищество;"ТОО ""КРЕДИТНОЕ ТОВАРИЩЕСТВО БОЛАШАК ИНВЕСТ""";АЛМАТИНСКАЯ ОБЛАСТЬ, ЖАМБЫЛСКИЙ РАЙОН, УЗЫНАГАШСКИЙ С.О., С.УЗЫНАГАШ, улица Мажитов, здание 12;БЕРЕКЕТОВА РАУАН ТАЛГАТОВНА;
"ТОО ""Кредитное товарищество ""АгроКапитал""";170240015098;Кредитное товарищество;"ТОО ""КРЕДИТНОЕ ТОВАРИЩЕСТВО ""АГРОКАПИТАЛ""";ОБЛАСТЬ ЖЕТІСУ, ТАЛДЫКОРГАН Г.А., Г.ТАЛДЫКОРГАН, улица Т.Рустембекова, здание 55/57;ГАЛИЕВ РУСЛАН НУРЛАНОВИЧ;
"ТОО ""Ломбард ""Вега""";120540019924;Ломбард;"ТОО ""ЛОМБАРД ""ВЕГА""";ОБЛАСТЬ ЖЕТІСУ, ТАЛДЫКОРГАН Г.А., Г.ТАЛДЫКОРГАН, Проспект Нұрсұлтан Назарбаев, дом 54, н.п. 27а;МАЛИНИНА ЛЮДМИЛА ВИТАЛЬЕВНА;
ТОО «Ломбард «HAYAT CAPITAL»;200440003565;Ломбард;"ТОО ""ЛОМБАРД ""HAYAT CAPITAL""";Г.АЛМАТЫ, АУЭЗОВСКИЙ РАЙОН, улица Толе би, дом 285/3;ИСМАИЛОВА АЛЬФИЯ АНАСОВНА;
"ТОО ""Ассы-Ломбард""";081240008772;Ломбард;"ТОО ""АССЫ-ЛОМБАРД""";АЛМАТИНСКАЯ ОБЛАСТЬ, ЕНБЕКШИКАЗАХСКИЙ РАЙОН, ЕСИКСКАЯ Г.А., Г.ЕСИК, Микрорайон 1, дом 10, кв. 40;ИСКАКОВА КУЛШАТ ТОРГАЙБЕКОВНА;
"ТОО ""Ломбард West""";091140003561;Ломбард;"ТОО ""ЛОМБАРД ""WEST""";ЗАПАДНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ, ТАСКАЛИНСКИЙ РАЙОН, ТАСКАЛИНСКИЙ С.О., С.ТАСКАЛА, улица М.Маметовой, дом 7;ЮНИНА ОЛЬГА НИКОЛАЕВНА;
"Товарищество с ограниченной ответственностью ""Ломбард ""Магнит ТиК""";160840023960;Ломбард;"ТОО ""ЛОМБАРД ""МАГНИТ ТИК""";ЖАМБЫЛСКАЯ ОБЛАСТЬ, ТАРАЗ Г.А., Г.ТАРАЗ, РАЙОН ӘУЛИЕАТА, Переулок 3 Абая, дом 49Б;БИБОЛОВ ЕРЛАН ХАБДУЛЛИНУЛЫ;
"Товарищество с ограниченной ответственностью ""Ломбард Натали""";140740022271;Ломбард;"ТОО ""ЛОМБАРД НАТАЛИ""";ЖАМБЫЛСКАЯ ОБЛАСТЬ, КОРДАЙСКИЙ РАЙОН, КОРДАЙСКИЙ С.О., С.КОРДАЙ, улица Жібек жолы, дом 185;ПОПОВА НАТАЛЬЯ МИХАЙЛОВНА;
"Товарищество с ограниченной ответственностью ""Микрофинансовая организация ""Атамекен Тараз""";160840012172;МФО;"ТОО ""МИКРОФИНАНСОВАЯ ОРГАНИЗАЦИЯ ""АТАМЕКЕН ТАРАЗ""";ЖАМБЫЛСКАЯ ОБЛАСТЬ, ТАРАЗ Г.А., Г.ТАРАЗ, РАЙОН ӘУЛИЕАТА, улица Колбасшы Койгельди, строение 173;АБДРАХМАНОВ РУСТЕМ АЗАМАТОВИЧ;
"ТОО ""Светлана Ломбард""";070540004270;Ломбард;"ТОО ""СВЕТЛАНА ЛОМБАРД""";АЛМАТИНСКАЯ ОБЛАСТЬ, КАРАСАЙСКИЙ РАЙОН, ШАМАЛГАНСКИЙ С.О., С.ШАМАЛГАН, улица Әбіш, дом 113;БАКИШЕВА САНИЯ СЕРИКОВНА;
"ТОО ""Зергер ломбард""";180140000593;Ломбард;"ТОО ""ЗЕРГЕР ЛОМБАРД""";ОБЛАСТЬ ЖЕТІСУ, ТАЛДЫКОРГАН Г.А., Г.ТАЛДЫКОРГАН, улица Кабанбай батыра, дом 51, н.п. 1;КАЛАШНИКОВА ИРИНА АЛЕКСАНДРОВНА;
"ТОО ""Кредитное товарищество ""Ұзынағаш-Несие""";160440005155;Кредитное товарищество;"ТОО ""КРЕДИТНОЕ ТОВАРИЩЕСТВО ""ҰЗЫНАҒАШ-НЕСИЕ""";АЛМАТИНСКАЯ ОБЛАСТЬ, ЖАМБЫЛСКИЙ РАЙОН, УЗЫНАГАШСКИЙ С.О., С.УЗЫНАГАШ, улица Саурық Батыр, дом 183А;ШАЛАБАЕВА ЛАУРА ЕРТАЛИПОВНА;
"ТОО ""ЛОМБАРД TASSI""";190740009471;МФО;"ТОО ""ЛОМБАРД TASSI""";ОБЛАСТЬ ЖЕТІСУ, ТАЛДЫКОРГАН Г.А., Г.ТАЛДЫКОРГАН, улица Биржан Сал, дом 80, н.п. 13;САМРАТБЕКОВ СУЛТАНБЕК ТАЛГАТОВИЧ;
"ТОО ""Ломбард ""АК и К""";080240000168;Ломбард;"ТОО ""ЛОМБАРД ""АК И К""";АЛМАТИНСКАЯ ОБЛАСТЬ, ҚОНАЕВ Г.А., Г.ҚОНАЕВ, Микрорайон 4, дом 30;АБЕУОВ КАНАТ ЖУМАГАЛИЕВИЧ;
"ТОО ""Кредитное товарищество ""Талгар""";031240002239;Кредитное товарищество;"ТОО ""КРЕДИТНОЕ ТОВАРИЩЕСТВО ""ТАЛГАР""";АЛМАТИНСКАЯ ОБЛАСТЬ, ТАЛГАРСКИЙ РАЙОН, ТАЛГАРСКАЯ Г.А., Г.ТАЛГАР, улица Лермонтова, здание 53;КЫДЫРАЛИЕВА ДИНАРА ТУРЫМТАЕВНА;
"ТОО ""Мирас ЛОМБАРД-1""";190640029373;МФО;"ТОО ""МИРАС ЛОМБАРД-1""";АЛМАТИНСКАЯ ОБЛАСТЬ, ЖАМБЫЛСКИЙ РАЙОН, УЗЫНАГАШСКИЙ С.О., С.УЗЫНАГАШ, улица Абай, здание 51;БАЙСУГУРОВ ЗАКАРИЯ САПАРОВИЧ;
"Товарищество с ограниченной ответственностью ""Микрофинансовая организация ""ERG Microfinance""";071140005613;МФО;"ТОО ""МИКРОФИНАНСОВАЯ ОРГАНИЗАЦИЯ ""ERG MICROFINANCE""";Г.АСТАНА, РАЙОН ЕСИЛЬ, Проспект Мәңгілік Ел, здание 43;ЖАКИМОВА ГУЛЬМИРА ОЛИЕВНА;
"Товарищество с ограниченной ответственностью ""Микрофинансовая организация ""TESQUA FINANCE""";191040022016;МФО;"ТОО МИКРОФИНАНСОВАЯ ОРГАНИЗАЦИЯ ""TESQUA FINANCE""";Г.АСТАНА, РАЙОН НҰРА, улица Кайым Мухамедханов, здание 5;КУСАИНОВ АРМАН АБЕЛЬГАЗИЕВИЧ;
"АО ""Микрофинансовая организация ""ОнлайнКазФинанс""";160840000397;МФО;"АО ""МИКРОФИНАНСОВАЯ ОРГАНИЗАЦИЯ ОНЛАЙНКАЗФИНАНС""";Г.АЛМАТЫ, АЛМАЛИНСКИЙ РАЙОН, Проспект Сейфуллина, дом 502;МУХАМЕДЖАНОВ АДИЛЬ БЕКТАСОВИЧ;
